team,current_elo
Spain,2053.235058627503
Argentina,2042.7110330652579
France,2009.3473996664884
Portugal,1939.4198056350842
England,1934.6744048650564
Brazil,1933.531620786064
Germany,1929.637287971821
Netherlands,1928.947434571067
Colombia,1918.68276831637
Japan,1906.8869573214588
Morocco,1905.1443908333533
Croatia,1894.0408935375588
Italy,1881.7621634746106
Ecuador,1880.1212525873982
Belgium,1858.5846801553369
Uruguay,1854.4289692136367
Turkey,1848.7667956055896
Denmark,1847.5318890934966
Mexico,1846.3709699262315
Switzerland,1841.8005510806559
Senegal,1838.4932763948043
Austria,1828.6789337041125
Norway,1823.380124002092
South Korea,1813.6990664194843
Iran,1812.028234490841
Australia,1807.6124886634407
Canada,1804.7462103257778
United States,1804.6261315056604
Algeria,1799.861062039129
Russia,1793.03963738174
Paraguay,1787.62296565128
Basque Country,1779.2046347707987
Serbia,1777.189454580857
Ukraine,1769.89968795988
Uzbekistan,1769.6680588934303
Poland,1769.5106841993695
Sweden,1757.6698290603435
Nigeria,1748.0032795593982
Hungary,1747.7099810819318
Czech Republic,1746.9393048221723
Jersey,1742.6639663435974
Egypt,1742.6036447538013
Greece,1741.8213329594494
Ivory Coast,1740.5025554502631
Venezuela,1736.0509440534079
Chile,1734.8985193971034
Scotland,1730.983192769236
Slovenia,1729.693801663365
Panama,1727.3901790706668
Yugoslavia,1727.013163473283
Wales,1715.8457797324554
Iraq,1700.8413194856346
Czechoslovakia,1700.792327832373
Tunisia,1699.9757524157687
Kosovo,1699.0319181717234
Catalonia,1697.719377587878
Republic of Ireland,1694.8246333313896
German DR,1691.3046573899298
Jordan,1691.30388525994
Slovakia,1685.4525054011233
Peru,1684.811822782423
Guernsey,1683.965122180191
DR Congo,1677.0782093171536
Costa Rica,1670.46667666354
Cameroon,1661.700972933982
Georgia,1655.5141589856296
Saudi Arabia,1655.3027325443254
Mali,1654.7525405010426
Albania,1650.041831506979
Ynys Môn,1649.7158709659727
New Zealand,1645.6875321015461
Isle of Man,1644.1087557924654
Bolivia,1640.0548812338186
Romania,1639.1455214734224
United Arab Emirates,1636.973553249911
Padania,1632.5081203389557
South Africa,1630.6140086213607
Jamaica,1629.6423359264004
Occitania,1629.3322395230944
Northern Cyprus,1626.227848635572
Bosnia and Herzegovina,1624.827096994905
Burkina Faso,1623.7234030312477
Andalusia,1622.74518974734
Israel,1621.6025644912609
Isle of Wight,1620.450062877328
Honduras,1620.2085966814927
Cape Verde,1617.4713308478142
Northern Ireland,1608.4282264412163
North Macedonia,1605.6579228198884
Oman,1601.6118952858785
Kernow,1598.9062620106351
Iceland,1597.8263636043423
Haiti,1595.3344273373114
Qatar,1595.1082226400965
Iraqi Kurdistan,1592.9575288357107
Abkhazia,1591.5223983704914
Guatemala,1586.387911197702
Finland,1580.8837945775276
Rhodes,1573.0022347389456
Corsica,1572.4077803013902
County of Nice,1569.5350888591697
Ghana,1567.1335235698823
Kárpátalja,1565.59417998512
Yorkshire,1555.3669046408468
Ellan Vannin,1553.949446141568
Angola,1553.7717894019104
Réunion,1553.3340105760853
Bulgaria,1549.5159027943898
Thailand,1549.4464704718803
Galicia,1548.1301384083347
Artsakh,1547.374745018398
Belarus,1544.1362296625955
Syria,1542.357632624655
China PR,1541.0747275615668
New Caledonia,1535.124141362467
Arameans Suryoye,1534.8699519343909
Suriname,1531.9885297969804
Vietnam,1530.5766869312115
Panjab,1530.543258038786
Bahrain,1529.9276028316044
Malaysia,1529.8662534705327
Montenegro,1529.635727803032
Palestine,1529.1479892672185
Maule Sur,1528.6802751485857
Cascadia,1528.4166692317087
Brittany,1527.8056091552273
Libya,1525.8569775664323
Guinea,1525.0279251733884
Menorca,1524.1584131970299
Benin,1521.5718079590263
Canary Islands,1520.5854606211035
Curaçao,1518.7947844242008
Gabon,1516.7681445080602
Biafra,1516.310857815289
Asturias,1516.264255770038
Chameria,1515.598925398659
Silesia,1515.5178145943676
Zanzibar,1514.4720177013423
Surrey,1513.6103477859929
Parishes of Jersey,1513.5327817514524
Zambia,1512.13885629946
Elba Island,1510.1053654160803
Tahiti,1510.0517491177566
Trinidad and Tobago,1507.9438422256137
Crimea,1507.018112273532
Donetsk PR,1506.950566241272
Felvidék,1506.5461650900534
Franconia,1504.2226946856847
Central Spain,1501.2100448127965
Mapuche,1500.6471999915343
Tamil Eelam,1500.5665397021576
Matabeleland,1499.8731173721342
Saugeais,1498.1234234973151
Gambia,1497.161664979281
Délvidék,1496.539251191674
United Koreans in Japan,1496.340696232162
West Papua,1494.6876278709778
Sealand,1494.180118081408
Guadeloupe,1493.2511825238998
Kuwait,1490.8046501330412
Uganda,1490.7480979632217
Kazakhstan,1490.5886538099116
Western Sahara,1490.0827861366865
Madrid,1489.691636173602
North Korea,1488.593250136508
South Ossetia,1486.9939208089545
Åland Islands,1485.967084956483
Cilento,1485.888444877062
Luhansk PR,1485.6806604500082
Western Armenia,1485.468417730442
Ryūkyū,1484.661889134913
Yoruba Nation,1484.3769730108465
Somaliland,1484.065795601921
Seborga,1484.0618566342846
Madagascar,1482.1824896302599
Republic of St. Pauli,1480.0358288059479
Shetland,1479.782937143587
Mozambique,1479.5591709707523
Gozo,1478.3990639566339
Kenya,1477.8840654444098
Indonesia,1477.8147380701866
Hmong,1477.5537090738528
Niue,1476.4244355805567
South Yemen,1474.8439118428698
Székely Land,1474.0926278058912
El Salvador,1473.8335449865197
Togo,1473.2053610441699
Kabylia,1472.2703077661124
Chechnya,1471.3653850697947
Aymara,1470.67252485988
Papua New Guinea,1469.1748297184593
Romani people,1468.616832678263
Rwanda,1466.0682162379724
Monaco,1465.559799837627
North Vietnam,1463.503829356902
Dominican Republic,1463.4977062375615
Luxembourg,1461.571345777369
Sápmi,1461.3731800461273
Ticino,1461.3691333363347
Equatorial Guinea,1460.3824117586867
Palau,1458.9134996602086
Comoros,1458.325020953531
Nicaragua,1456.9663104448925
Găgăuzia,1456.4399395977598
Guyana,1455.7838477750174
Manchukuo,1454.390847645899
Western Isles,1452.629409142122
Saarland,1451.5793860819306
Armenia,1451.320733000507
Martinique,1449.6716540621326
Fiji,1449.269821424745
Sudan,1448.7084323672784
Provence,1448.4452570347173
Greenland,1448.085525027522
Zimbabwe,1447.6476639160671
Marshall Islands,1447.2036604484065
Kyrgyzstan,1447.156025725761
Two Sicilies,1445.5760367013881
Mauritania,1445.3263365857904
Niger,1443.648300966369
Vanuatu,1443.438483277778
Sark,1441.2441168809785
Azerbaijan,1441.1143616647885
Tajikistan,1440.8072626606436
Gotland,1438.6058403097666
Sierra Leone,1435.285375558765
Estonia,1435.126081408692
Mayotte,1432.3137781267012
Vatican City,1432.1689728071806
Barawa,1431.6920236334995
Orkney,1431.113320771342
Lebanon,1430.9254640364618
Ambazonia,1429.4123492365752
Malawi,1428.4569689803307
Faroe Islands,1427.9192906390635
Saint Barthélemy,1424.9499962630462
Botswana,1423.3803610903801
Vietnam Republic,1420.0259317768641
Micronesia,1418.319445627739
Raetia,1415.325960246222
Western Australia,1414.2679557406543
Namibia,1410.1955345912093
Cyprus,1408.864108420286
French Guiana,1408.7830916199848
Darfur,1407.624923897854
Yemen DPR,1404.4837858498456
Malta,1402.5025780927301
Burundi,1401.1268786784362
Saint Pierre and Miquelon,1399.3369848371638
Cuba,1398.8823789740793
Saint Helena,1398.5420731107856
Tanzania,1398.3919526508269
Solomon Islands,1397.7450682303424
Ethiopia,1397.3867263293848
Turkmenistan,1396.8286199421607
Chagos Islands,1392.0644682868049
Liberia,1391.655502508701
Hitra,1389.5652208423132
Saint Vincent and the Grenadines,1385.574198511627
Latvia,1382.9267263609327
Lesotho,1382.4986856526568
Puerto Rico,1378.3367148418677
Lithuania,1377.5255174632202
Guinea-Bissau,1374.198379402237
Central African Republic,1373.4234060705103
Hong Kong,1370.1080318984984
Kiribati,1368.5937835805098
Saare County,1362.6049442433919
Philippines,1360.714403386708
Singapore,1360.1793316349083
Congo,1357.6396714787631
Moldova,1357.076046310596
Bermuda,1356.0212102279247
Wallis Islands and Futuna,1353.4645537566546
Sint Maarten,1342.0419193313132
Saint Kitts and Nevis,1337.8320799956837
Tibet,1334.3993617264687
India,1327.5128714370223
Eswatini,1327.489823139809
Belize,1326.6764607039277
Grenada,1325.2250370038141
Samoa,1323.8721615816835
Yemen,1317.190224737133
Tuvalu,1314.1395795803194
Saint Martin,1301.783415007608
Saint Lucia,1299.3103528312915
Falkland Islands,1299.2850523909121
South Sudan,1297.4117555436865
Montserrat,1295.7015208629198
Chad,1282.7705537055658
Frøya,1281.0421820699187
Cook Islands,1265.6946033919505
Bonaire,1264.557324463644
Mauritius,1254.4342906296645
Aruba,1253.4751745019557
Eritrea,1253.1479395293077
Afghanistan,1244.1042601180623
Antigua and Barbuda,1233.8580296736307
Dominica,1233.4536209635446
Myanmar,1228.866054355242
São Tomé and Príncipe,1222.0108703160508
Gibraltar,1217.7837199883966
Bangladesh,1214.8655714599327
Barbados,1207.592967552486
Turks and Caicos Islands,1203.8863537089617
Cayman Islands,1203.1749771366894
Tonga,1202.7217333068386
Andorra,1201.089105673811
Nepal,1198.865908145397
Taiwan,1193.597794447033
Northern Mariana Islands,1157.6988770431296
Alderney,1149.982943424973
Cambodia,1144.9874894652537
Maldives,1137.7828838278745
British Virgin Islands,1137.0724920577159
Djibouti,1134.98333509138
Somalia,1126.6392386766934
American Samoa,1124.8503749971367
United States Virgin Islands,1124.8199314918488
Liechtenstein,1123.8791221090676
Bahamas,1121.848446001513
Sri Lanka,1120.7273463855402
Guam,1117.9213238059865
Mongolia,1112.7842787520249
Seychelles,1091.3639186728658
Pakistan,1090.85065515817
Laos,1077.2387163318747
Anguilla,1060.6858100044792
Brunei,1047.1380065443516
San Marino,1029.5089246969217
Timor-Leste,1003.9010839409508
Macau,1001.2549126744543
Bhutan,987.0941892034713
